x: 1.0, y: 0.0, v: 10.0, theta: 0.0
x: 2.0, y: 0.0, v: 10.0, theta: 0.0
x: 3.0, y: 0.0, v: 10.0, theta: 0.0
x: 4.0, y: 0.0, v: 10.0, theta: 0.0
x: 5.0, y: 0.0, v: 10.0, theta: 0.0
x: 6.0, y: 0.0, v: 10.0, theta: 0.0
x: 7.0, y: 0.0, v: 10.0, theta: 0.0
x: 8.0, y: 0.0, v: 10.0, theta: 0.0
x: 9.0, y: 0.0, v: 10.0, theta: 0.0
x: 10.0, y: 0.0, v: 10.0, theta: 0.0
x: 11.0, y: 0.0, v: 10.0, theta: 0.0
x: 12.0, y: 0.0, v: 10.0, theta: 1.1459537889759381
x: 12.0, y: 0.0, v: 10.0, theta: 0.0
theta_next_high: 0.020000666693334418, theta_next_midle: 0.0, target_theta: 1.5707963267948966, rotate_radian: 1.5707963267948966
x: 12.0, y: 0.0, v: 10.0, theta: 1.1459537889759381
x: 12.999799993333378, y: 0.019999333253328835, v: 10.0, theta: 3.4380905958902837
x: 12.999799993333378, y: 0.019999333253328835, v: 10.0, theta: 2.2919075779518763
theta_next_high: 0.06000600088013927, theta_next_midle: 0.040001333386668836, target_theta: 1.5707963267948966, rotate_radian: 1.5507956601015622
x: 12.999799993333378, y: 0.019999333253328835, v: 10.0, theta: 3.4380905958902837
x: 13.998000173413793, y: 0.07996932981348884, v: 10.0, theta: 6.87686906211841
x: 13.998000173413793, y: 0.07996932981348884, v: 10.0, theta: 5.730227402804629
theta_next_high: 0.12002400736250071, theta_next_midle: 0.10001133506694412, target_theta: 1.5707963267948968, rotate_radian: 1.5107903259147575
x: 13.998000173413793, y: 0.07996932981348884, v: 10.0, theta: 6.87686906211841
x: 14.990805935007199, y: 0.19970537178472242, v: 10.0, theta: 11.462977608661536
x: 14.990805935007199, y: 0.19970537178472242, v: 10.0, theta: 10.315647528346537
theta_next_high: 0.20006670135352986, theta_next_midle: 0.18004201384486215, target_theta: 1.5707963267948968, rotate_radian: 1.450772319432396
x: 14.990805935007199, y: 0.19970537178472242, v: 10.0, theta: 11.462977608661536
x: 15.970859259154988, y: 0.39844007390507963, v: 10.0, theta: 17.197334987747208
x: 15.970859259154988, y: 0.39844007390507963, v: 10.0, theta: 16.049086155204662
theta_next_high: 0.30015011810460746, theta_next_midle: 0.28010939534455903, target_theta: 1.5707963267948968, rotate_radian: 1.370729625441367
x: 15.970859259154988, y: 0.39844007390507963, v: 10.0, theta: 17.197334987747208
x: 16.926151374582997, y: 0.6941036905390507, v: 10.0, theta: 24.081091019757203
x: 16.926151374582997, y: 0.6941036905390507, v: 10.0, theta: 22.931692366832877
theta_next_high: 0.42029432576720205, theta_next_midle: 0.400233534855685, target_theta: 1.570796326794897, rotate_radian: 1.2706462086902894
x: 16.926151374582997, y: 0.6941036905390507, v: 10.0, theta: 24.081091019757203
x: 17.839120260939477, y: 1.1021328715359557, v: 10.0, theta: 32.11562751674024
x: 17.839120260939477, y: 1.1021328715359557, v: 10.0, theta: 30.964847051767197
theta_next_high: 0.5605234415112075, theta_next_midle: 0.5404385334297966, target_theta: 1.5707963267948968, rotate_radian: 1.1505020010276947
x: 17.839120260939477, y: 1.1021328715359557, v: 10.0, theta: 32.11562751674024
x: 18.686097210989278, y: 1.633762485162153, v: 10.0, theta: 41.302559394088156
x: 18.686097210989278, y: 1.633762485162153, v: 10.0, theta: 40.15016401372328
theta_next_high: 0.7208656509273526, theta_next_midle: 0.7007525572552129, target_theta: 1.5707963267948968, rotate_radian: 1.0102728852836893
x: 18.686097210989278, y: 1.633762485162153, v: 10.0, theta: 41.302559394088156
x: 19.43733186156532, y: 2.293797711323526, v: 10.0, theta: 51.64373597228015
x: 19.43733186156532, y: 2.293797711323526, v: 10.0, theta: 50.48949127143608
theta_next_high: 0.9013532307469235, theta_next_midle: 0.8812078603434976, target_theta: 1.5707963267948968, rotate_radian: 0.8499306758675442
